name,surname,patronymic,birth_date,classId
Юрий,Петухов,Фёдорович,2011-06-11, 9
Юрий,Петухов,Маркович,2004-04-11, 30
Юрий,Петухов,Тимофеевич,2015-07-12, 21
Юрий,Петухов,Юрьевич,2017-03-30, 23
Юрий,Петухов,Андреевич,2007-10-28, 15
Юрий,Петухов,Михайлович,2005-07-31, 4
Юрий,Петухов,Давидович,2005-09-08, 2
Юрий,Петухов,Васильевич,2018-01-05, 23
Юрий,Петухов,Гордеевич,2012-10-28, 27
Юрий,Петухов,Робертович,2003-08-04, 27
Юрий,Петухов,Макарович,2020-03-02, 15
Юрий,Петухов,Ильич,2016-09-26, 5
Юрий,Петухов,Александрович,2009-05-22, 19
Юрий,Петухов,Макарович,2020-12-10, 28
Юрий,Петухов,Максимович,2020-09-03, 21
Юрий,Петухов,Святославович,2004-08-03, 17
Юрий,Петухов,Дмитриевич,2006-05-06, 14
Юрий,Петухов,Владиславович,2002-01-03, 4
Юрий,Петухов,Егорович,2020-03-04, 18
Юрий,Петухов,Ибрагимович,2004-06-15, 12
Юрий,Петухов,Максимович,2005-03-26, 6
Юрий,Петухов,Даниилович,2002-03-07, 34
Юрий,Петухов,Савельевич,2017-12-19, 4
Юрий,Петухов,Евгеньевич,2012-11-10, 23
Юрий,Петухов,Артёмович,2008-09-27, 31
Юрий,Петухов,Дмитриевич,2012-08-23, 33
Юрий,Петухов,Викторович,2004-07-21, 15
Юрий,Петухов,Андреевич,2004-12-19, 34
Юрий,Петухов,Романович,2012-09-24, 9
Юрий,Петухов,Матвеевич,2007-09-10, 28
Юрий,Петухов,Ильич,2019-06-03, 16
Юрий,Петухов,Ибрагимович,2019-02-04, 30
Юрий,Петухов,Максимович,2009-03-24, 25
Юрий,Петухов,Романович,2009-12-05, 11
Юрий,Петухов,Кириллович,2010-07-14, 32
Юрий,Петухов,Андреевич,2008-06-17, 13
Юрий,Петухов,Никитич,2015-01-31, 11
Юрий,Петухов,Викторович,2020-10-20, 4
Юрий,Петухов,Маркович,2013-12-29, 6
Юрий,Петухов,Иванович,2006-01-05, 30
Юрий,Петухов,Максимович,2015-07-21, 25
Юрий,Петухов,Петрович,2019-10-27, 31
Юрий,Петухов,Андреевич,2012-06-20, 6
Юрий,Петухов,Ярославович,2009-10-23, 12
Юрий,Петухов,Артёмович,2017-11-26, 20
Юрий,Петухов,Артёмович,2007-10-14, 25
Юрий,Петухов,Кириллович,2010-09-26, 20
Юрий,Петухов,Ярославович,2004-03-25, 14
Юрий,Петухов,Иванович,2018-10-21, 25
Юрий,Петухов,Романович,2017-05-10, 33
Юрий,Петухов,Владимирович,2001-06-05, 8
Юрий,Петухов,Дмитриевич,2017-06-25, 28
Юрий,Петухов,Петрович,2001-12-21, 31
Юрий,Петухов,Павлович,2017-03-15, 13
Юрий,Петухов,Александрович,2019-10-27, 10
Юрий,Петухов,Арсентьевич,2005-08-29, 3
Юрий,Петухов,Филиппович,2015-05-20, 7
Юрий,Петухов,Иванович,2020-05-11, 10
Юрий,Петухов,Кириллович,2015-07-07, 5
Юрий,Петухов,Родионович,2015-01-21, 8
Юрий,Петухов,Ярославович,2010-02-02, 20
Юрий,Петухов,Маркович,2019-01-22, 5
Юрий,Петухов,Георгиевич,2018-05-13, 19
Юрий,Петухов,Адамович,2007-11-07, 33
Юрий,Петухов,Мирославович,2001-11-02, 14
Юрий,Петухов,Юрьевич,2003-07-17, 14
Юрий,Петухов,Леонидович,2017-12-11, 19
Юрий,Петухов,Эмирович,2019-10-20, 31
Юрий,Петухов,Владимирович,2009-03-08, 34
Юрий,Петухов,Давидович,2019-05-05, 11
Юрий,Петухов,Тимурович,2010-01-03, 16
Юрий,Петухов,Тимофеевич,2018-08-29, 6
Юрий,Петухов,Львович,2009-08-07, 27
Юрий,Петухов,Денисович,2020-09-02, 12
Юрий,Петухов,Ильич,2004-03-03, 5
Юрий,Петухов,Иванович,2002-08-10, 15
Юрий,Петухов,Григорьевич,2017-01-19, 26
Юрий,Петухов,Артёмович,2009-05-30, 22
Юрий,Петухов,Ильич,2019-06-20, 33
Юрий,Петухов,Тигранович,2017-02-11, 7
Юрий,Петухов,Романович,2008-05-22, 3
Юрий,Петухов,Вячеславович,2016-10-06, 31
Юрий,Петухов,Вячеславович,2016-12-02, 27
Юрий,Петухов,Святославович,2005-06-25, 16
Юрий,Петухов,Евгеньевич,2013-04-21, 21
Юрий,Петухов,Тимофеевич,2003-06-07, 9
Юрий,Петухов,Степанович,2007-11-29, 5
Юрий,Петухов,Максимович,2016-09-30, 10
Юрий,Петухов,Сергеевич,2008-12-15, 26
Юрий,Петухов,Михайлович,2012-12-11, 15
Юрий,Петухов,Константинович,2019-06-26, 11
Юрий,Петухов,Владимирович,2016-08-01, 29
Юрий,Петухов,Григорьевич,2002-03-13, 28
Юрий,Петухов,Александрович,2009-08-03, 26
Юрий,Петухов,Денисович,2019-10-30, 30
Юрий,Петухов,Иванович,2013-11-08, 29
Юрий,Петухов,Ильич,2019-11-04, 33
Юрий,Петухов,Матвеевич,2008-07-31, 17
Юрий,Петухов,Сергеевич,2008-10-05, 10
Юрий,Петухов,Никитич,2017-06-08, 33
Юрий,Петухов,Артёмович,2019-11-05, 5
Юрий,Петухов,Артёмович,2004-01-02, 27
Юрий,Петухов,Глебович,2002-08-21, 28
Юрий,Петухов,Ярославович,2002-08-07, 28
Юрий,Петухов,Владиславович,2006-10-16, 2
Юрий,Петухов,Миронович,2007-06-21, 33
Юрий,Петухов,Иванович,2018-06-01, 10
Юрий,Петухов,Сергеевич,2015-11-15, 32
Юрий,Петухов,Алиевич,2018-08-22, 26
Юрий,Петухов,Максимович,2018-12-10, 18
Юрий,Петухов,Андреевич,2008-07-16, 13
Юрий,Петухов,Дмитриевич,2004-08-23, 5
Юрий,Петухов,Николаевич,2003-08-09, 21
Юрий,Петухов,Тихонович,2005-11-29, 10
Юрий,Петухов,Денисович,2019-01-04, 22
Юрий,Петухов,Григорьевич,2012-10-15, 29
Юрий,Петухов,Васильевич,2013-10-19, 11
Юрий,Петухов,Макарович,2010-09-06, 28
Юрий,Петухов,Ярославович,2011-02-27, 24
Юрий,Петухов,Вячеславович,2004-11-04, 23
Юрий,Петухов,Фёдорович,2016-10-25, 33
Юрий,Петухов,Михайлович,2007-01-14, 14
Юрий,Петухов,Платонович,2005-02-21, 3
